,Date Created,Number of Likes,Source of Tweet,Tweets
0,2023-02-13 21:48:18+00:00,0,Twitter for iPhone,@ishherreraa that FG pick screwed me too!!
1,2023-02-12 18:21:37+00:00,8,Twitter for iPhone,@patrickbetdavid nah
2,2023-02-12 18:20:57+00:00,2,Twitter for iPhone,@BigTalkMMA Happy to meet you too. Hope you had fun at both spots!
3,2023-02-12 18:02:01+00:00,100,Twitter for iPhone,"Bottled Blonde in Scottsdale, AZ with the team. https://t.co/UILMmEQYKx"
4,2023-02-11 15:36:42+00:00,33,Twitter Web App,@stevewilldoit @happydad i agree.. a ton of stores too.
5,2023-02-08 02:56:54+00:00,9,Twitter for iPhone,@ZachHyatt___ @happydad summer 2023
6,2023-02-08 02:31:00+00:00,52,Twitter for iPhone,@KEEMSTAR Thank you for the link and thank you Mia. ♥️ https://t.co/NfIlZ8JHgO
7,2023-02-03 14:16:17+00:00,5,Twitter for iPhone,@patrickbetdavid facts
8,2023-02-03 01:58:42+00:00,7,Twitter for iPhone,@ModifiedVirus @happydad ♥️♥️
9,2023-01-30 19:07:44+00:00,76,Twitter for iPhone,This is insane.
10,2023-01-30 13:45:01+00:00,38,Twitter for iPhone,Who are we going with on @PrizePicks for the SuperBowl?
11,2023-01-29 23:53:58+00:00,1,Twitter for iPhone,"@ajseer_ I dunno, I love both QBs. You?"
12,2023-01-29 22:28:11+00:00,9,Twitter for iPhone,"@GordonGoner praying for you my man. You got this.
We all love you and sending you the best energy."
13,2023-01-29 19:47:27+00:00,130,Twitter for iPhone,One thing that makes me happy is discussing new ideas and innovation with @stevewilldoit!!
14,2023-01-29 16:37:59+00:00,2,Twitter for iPhone,@DanksoloNFT @happydad @KyleForgeard @stevewilldoit @JuddWarshaw when exactly is spring break?
15,2023-01-29 15:35:51+00:00,91,Twitter for iPhone,Logan Paul + WWE is so cool to me. https://t.co/ZBm5iTrb1x
16,2023-01-29 13:11:12+00:00,0,Twitter for iPhone,@JellyRoll615 Let’s go!!🔥🔥🔥🔥
17,2023-01-29 13:10:41+00:00,4,Twitter for iPhone,@DanksoloNFT @happydad @Target gm that is changing very very soon.
18,2023-01-28 19:47:29+00:00,24,Twitter for iPhone,@elonmusk feels good!
19,2023-01-27 16:18:13+00:00,216,Twitter Web App,.@happydad is available at @Target stores in Florida and slowly being delivered at stores throughout California. https://t.co/wJuL9hnDR9
20,2023-01-25 17:36:51+00:00,144,Twitter for iPhone,Crazy that the @stevewilldoit podcast (@steve) is just sitting in the top 5 of the @spotifypodcasts charts. Ep. 3 in the works now. Send me some topics!
21,2023-01-25 16:41:43+00:00,9,Twitter for iPhone,@rumblevideo my favorite feature. I discovered it the other night while watching @DonaldJTrumpJr.
22,2023-01-24 01:55:49+00:00,19,Twitter Web App,@happydad i feel that.
23,2023-01-23 21:11:31+00:00,1,Twitter for iPhone,@crandy38 @Reedjd Thank you bro.
24,2023-01-23 18:10:40+00:00,128,Twitter for iPhone,Insane. It’s just been 1 week. New episode tomorrow.
25,2023-01-23 02:37:23+00:00,1,Twitter for iPhone,@xlancesanchez agreed.
26,2023-01-21 14:28:41+00:00,1666,Twitter for iPhone,The @stevewilldoit podcast is now #8 on Spotify. This is crazy. https://t.co/izYBbGrlkZ
